person_id,page_number,occupation,entry_type,occupation_norm_proposed,age,sex,family_status_norm,comments
P000506,57,,blank,,25,Женский,Жена,
P000510,58,,blank,,40,Женский,Хозяйка,
P000512,58,,blank,,,Мужской,Жилец,
P000513,58,,blank,,46,Женский,Сожительница,
P000515,58,,blank,,27,Женский,Жена,
P000520,58,,blank,,36,Женский,Сожительница,
P000521,58,,blank,,5,Женский,Незаконнорожденная дочь,175
P000522,58,,blank,,2,Женский,Незаконнорожденная дочь,174
P000523,58,,blank,,1,Мужской,Незаконнорожденный сын,173
P000525,59,,blank,,36,Женский,Хозяйка,
P000528,59,,blank,,45,Женский,Сожительница,
P000530,59,,blank,,40,Женский,Жена,
P000531,59,,blank,,18,Мужской,Сын,
P000532,59,,blank,,2,Женский,Дочь,
P000533,59,,blank,,28,Мужской,Хозяин,
P000534,59,,blank,,28,Женский,Жена,
P000539,59,,blank,,50,Женский,Сожительница,
P000540,59,,blank,,30,Мужской,Жилец,
P000541,60,,blank,,27,Женский,Жена,
P000544,60,,blank,,37,Женский,Сожительница,
P000546,60,,blank,,27,Женский,Жена,
P000547,60,,blank,,0,Мужской,Сын,
P000549,60,,blank,,40,Мужской,Хозяин,
P000551,60,,blank,,35,Женский,Жена,
P000552,60,,blank,,35,Мужской,Хозяин,
P000553,60,,blank,,5,Женский,Дочь,
P000554,60,,blank,,42,Женский,Жена,
P000555,60,,blank,,35,Мужской,Хозяин,
P000556,60,,blank,,26,Женский,Жена,
P000557,61,,blank,,3,Женский,Незаконнорожденная дочь,172
P000559,61,,blank,,46,Женский,Жена,Женат в Сибири
P000561,61,,blank,,36,Женский,Хозяйка,
P000563,61,,blank,,,Мужской,Хозяин,4-я Касьяновская. В Николаевске
P000569,61,,blank,,1,Женский,Дочь,
P000572,61,,blank,,1,Женский,Дочь,
P000575,62,,blank,,2,Женский,Дочь,
P000579,62,,blank,,45,Мужской,Хозяин,
P000580,62,,blank,,42,Женский,Жена,
P000582,62,,blank,,33,Женский,Жилица,Муж умер на Сахалине
P000583,62,,blank,,1,Мужской,Сын,
P000584,62,,blank,,38,Женский,Хозяйка,
P000589,63,,blank,,41,Женский,Сожительница,
P000590,63,,blank,,4,Мужской,Незаконнорожденный сын,169
P000592,63,,blank,,38,Женский,Сожительница,
P000593,63,,blank,,3,Мужской,Незаконнорожденный сын,170
P000594,63,,blank,,0,Мужской,Незаконнорожденный сын,171
P000600,63,,blank,,17,Мужской,Сын,
P000604,63,,blank,,0,Мужской,Сын,
P000609,64,,blank,,,Мужской,Хозяин,5-я Касьяновская. В Николаевске
P000613,64,,blank,,39,Женский,Жена,
P000614,64,,blank,,4,Мужской,Сын,
P000615,64,,blank,,2,Мужской,Сын,
P000617,64,,blank,,26,Мужской,Хозяин,5-я Касьяновская
P000620,65,,blank,,1,Мужской,Сын,
P000622,65,,blank,,,Мужской,Хозяин,"Во Владивостоке. У него живут квартиранты. Сам он, кажется, живет в чужом доме, на квартире"
P000629,65,,blank,,2,Женский,Дочь,
P000633,65,,blank,,27,Мужской,Жилец,
P000635,65,,blank,,,Мужской,Хозяин,5-я Касьяновская. В Николаевске
P000637,66,,blank,,,Мужской,Хозяин,5-я Касьяновская. В Николаевске
P000645,66,,blank,,2,Мужской,Сын,
P000646,66,,blank,,0,Мужской,Сын,2 недели
P000650,66,,blank,,26,Женский,Дочь,
P000653,67,,blank,,1,Мужской,Сын,
P000656,67,,blank,,4,Мужской,Сын,
P000662,67,,blank,,,Мужской,Хозяин,6-я Касьяновская. В Николаевске
P000663,67,,blank,,,Мужской,Хозяин,6-я Касьяновская. Сожительница и дочь в Николаевске
P000665,67,,blank,,6,Женский,Незаконнорожденная дочь,167
P000666,67,,blank,,4,Женский,Незаконнорожденная дочь,168
P000668,67,,blank,,,Мужской,Хозяин,"6-я Касьяновская. В Николаевском, и дом стоит недостроенный"
P000672,68,,blank,,10,Женский,Дочь,
