person_id,old_source_position_id,new_source_position_id,changed_fields,changed_field_count
P000134,1-02-У_перевоза_через_р._Александровку-0039,1-02-000-0039,household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000135,1-02-У_перевоза_через_р._Александровку-0040,1-02-000-0040,household_details; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,8
P000136,1-02-Тюрьма-0041,1-02-000-0041,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000137,1-02-Тюрьма-0042,1-02-000-0042,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000138,1-02-Тюрьма-0043,1-02-000-0043,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000139,1-02-Тюрьма-0044,1-02-000-0044,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000140,1-02-Тюрьма-0045,1-02-000-0045,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000141,1-02-Тюрьма-0046,1-02-000-0046,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000142,1-02-тюрьма-0047,1-02-000-0047,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000143,1-02-Тюрьма-0048,1-02-000-0048,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000144,1-02-Тюрьма-0049,1-02-000-0049,household_number; household_type; legal_status_norm; literacy; sex; sex_evidence; source_position_id,7
P000145,1-02-001-0050,1-02-001-0050,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000146,1-02-001-0051,1-02-001-0051,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000147,1-02-001-0052,1-02-001-0052,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000148,1-02-001-0053,1-02-001-0053,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000149,1-02-002-0054,1-02-002-0054,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000150,1-02-002-0055,1-02-002-0055,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000151,1-02-002-0056,1-02-002-0056,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000152,1-02-002-0057,1-02-002-0057,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000153,1-02-002-0058,1-02-002-0058,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000154,1-02-002-0059,1-02-002-0059,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000155,1-02-003-0060,1-02-003-0060,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000156,1-02-003-0061,1-02-003-0061,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000157,1-02-003-0062,1-02-003-0062,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000158,1-02-003-0063,1-02-003-0063,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000159,1-02-003-0064,1-02-003-0064,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000160,1-02-003-0065,1-02-003-0065,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000161,1-02-003-0066,1-02-003-0066,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000162,1-02-003-0067,1-02-003-0067,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000163,1-02-003-0068,1-02-003-0068,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000164,1-02-003-0069,1-02-003-0069,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000165,1-02-003-0070,1-02-003-0070,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000166,1-02-004-0071,1-02-004-0071,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000167,1-02-004-0072,1-02-004-0072,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000168,1-02-004-0073,1-02-004-0073,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000169,1-02-004-0074,1-02-004-0074,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000170,1-02-004-0075,1-02-004-0075,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000171,1-02-004-0076,1-02-004-0076,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000172,1-02-005-0077,1-02-005-0077,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000173,1-02-005-0078,1-02-005-0078,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000174,1-02-005-0079,1-02-005-0079,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000175,1-02-005-0080,1-02-005-0080,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000176,1-02-005-0081,1-02-005-0081,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000177,1-02-005-0082,1-02-005-0082,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000178,1-02-006-0083,1-02-006-0083,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000179,1-02-006-0084,1-02-006-0084,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000180,1-02-006-0085,1-02-006-0085,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000181,1-02-006-0086,1-02-006-0086,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000182,1-02-006-0087,1-02-006-0087,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000183,1-02-006-0088,1-02-006-0088,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000184,1-02-006-0089,1-02-006-0089,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000185,1-02-006-0090,1-02-006-0090,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000186,1-02-006-0091,1-02-006-0091,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000187,1-02-006-0092,1-02-006-0092,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000188,1-02-006-0093,1-02-006-0093,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000189,1-02-006-0094,1-02-006-0094,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000190,1-02-007-0095,1-02-007-0095,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000191,1-02-007-0096,1-02-007-0096,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000192,1-02-007-0097,1-02-007-0097,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000193,1-02-007-0098,1-02-007-0098,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000194,1-02-007-0099,1-02-007-0099,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000195,1-02-007-0100,1-02-007-0100,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000196,1-02-007-0101,1-02-007-0101,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000197,1-02-007-0102,1-02-007-0102,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000198,1-02-007-0103,1-02-007-0103,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000199,1-02-008-0104,1-02-008-0104,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000200,1-02-008-0105,1-02-008-0105,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000201,1-02-008-0106,1-02-008-0106,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000202,1-02-008-0107,1-02-008-0107,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000203,1-02-009-0108,1-02-009-0108,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000204,1-02-009-0109,1-02-009-0109,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000205,1-02-009-0110,1-02-009-0110,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000206,1-02-010-0111,1-02-010-0111,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000207,1-02-010-0112,1-02-010-0112,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000208,1-02-010-0113,1-02-010-0113,family_status_norm; household_id; household_number; household_type; illness_norm; legal_status_norm; sex; sex_evidence,8
