person_id,source_position_id,page_number,field,before,after
P005800,2-27-020-0038,385,comments,5 месяцев; 4,4
P005821,2-27-030-0059,386,age_months,,22
P005821,2-27-030-0059,386,comments,1 год 10 месяцев; 8,8
P005849,2-27-045-0087,388,age_months,,21
P005849,2-27-045-0087,388,comments,1 год 9 месяцев; 312,312
P005881,2-27-062-0119,389,age_months,,2
P005881,2-27-062-0119,389,comments,2 месяца,
P005884,2-27-063-0122,390,age_months,,18
P005884,2-27-063-0122,390,comments,1 год 6 месяцев,
P005898,2-27-069-0136,390,age_months,,15
P005898,2-27-069-0136,390,comments,1 год 3 месяца,
P005902,2-27-071-0140,391,age_months,,18
P005902,2-27-071-0140,391,comments,1 год 6 месяцев,
P005935,2-27-091-0173,392,age_months,,4
P005935,2-27-091-0173,392,comments,4 месяца; 1,1
P005959,2-27-101-0197,394,age_months,,20
P005959,2-27-101-0197,394,comments,1 год 8 месяцев; 319,319
P005963,2-27-102-0201,394,age_months,,6
P005963,2-27-102-0201,394,comments,6 месяцев,
P005974,2-27-106-0212,395,age_months,,17
P005974,2-27-106-0212,395,comments,1 год 5 месяцев; 322,322
P005984,2-27-109-0222,395,age_months,,22
P005984,2-27-109-0222,395,comments,1 год 10 месяцев; 324,324
P006002,2-27-118-0240,396,age_months,,6
P006002,2-27-118-0240,396,comments,6 месяцев,
P006007,2-27-120-0245,396,age_months,,3
P006007,2-27-120-0245,396,comments,3 месяца,
P006013,2-27-124-0251,397,age_months,,18
P006013,2-27-124-0251,397,comments,1 год 6 месяцев,
P006037,2-27-139-0275,398,age_months,,6
P006037,2-27-139-0275,398,comments,6 месяцев; 328,328
P006054,2-27-148-0292,399,age_months,,17
P006054,2-27-148-0292,399,comments,1 год 5 месяцев,
P006065,2-27-154-0303,400,age_months,,18
P006065,2-27-154-0303,400,comments,1 год 6 месяцев,
P006083,2-27-168-0321,401,age_months,,7
P006083,2-27-168-0321,401,comments,7 месяцев; 329,329
P006088,2-27-173-0326,401,age_months,,16
P006088,2-27-173-0326,401,comments,1 год 4 месяца,
P006089,2-27-173-0327,401,age_months,,4
P006089,2-27-173-0327,401,comments,4 месяца,
P006099,2-27-176-0337,401,age_months,,10
