person_id,source_position_id,page_number,comments_before,comments_after,reason
P004880,2-24-238-0844,333,909,,pure_numeric_comment
P004882,2-24-238-0846,333,911,,pure_numeric_comment
P004883,2-24-238-0847,333,912,,pure_numeric_comment
P004884,2-24-239-0848,333,913,,pure_numeric_comment
P004885,2-24-239-0849,333,914,,pure_numeric_comment
P004887,2-24-240-0851,333,916,,pure_numeric_comment
P004888,2-24-241-0852,333,917,,pure_numeric_comment
P004889,2-24-241-0853,333,918,,pure_numeric_comment
P004890,2-24-241-0854,333,919,,pure_numeric_comment
P004891,2-24-241-0855,333,920,,pure_numeric_comment
P004892,2-24-241-0856,333,921,,pure_numeric_comment
P004893,2-24-241-0857,333,922,,pure_numeric_comment
P004894,2-24-241-0858,333,923,,pure_numeric_comment
P004895,2-24-242-0859,333,924,,pure_numeric_comment
P004896,2-24-242-0860,334,925,,pure_numeric_comment
P004897,2-24-243-0861,334,926,,pure_numeric_comment
P004898,2-24-243-0862,334,927,,pure_numeric_comment
P004900,2-24-244-0864,334,929,,pure_numeric_comment
P004901,2-24-244-0865,334,930,,pure_numeric_comment
P004902,2-24-244-0866,334,931,,pure_numeric_comment
P004903,2-24-245-0867,334,932,,pure_numeric_comment
P004904,2-24-245-0868,334,933,,pure_numeric_comment
P004905,2-24-245-0869,334,934,,pure_numeric_comment
P004906,2-24-245-0870,334,935,,pure_numeric_comment
P004907,2-24-245-0871,334,936,,pure_numeric_comment
P004908,2-24-245-0872,334,937,,pure_numeric_comment
P004909,2-24-245-0873,334,938,,pure_numeric_comment
P004910,2-24-245-0874,334,939,,pure_numeric_comment
P004911,2-24-246-0875,334,940,,pure_numeric_comment
P004912,2-24-246-0876,334,941,,pure_numeric_comment
P004913,2-24-247-0877,334,942,,pure_numeric_comment
P004914,2-24-247-0878,334,943,,pure_numeric_comment
P004918,2-24-248-0882,335,947,,pure_numeric_comment
P004919,2-24-248-0883,335,948,,pure_numeric_comment
P004920,2-24-248-0884,335,949,,pure_numeric_comment
P004921,2-24-249-0885,335,950,,pure_numeric_comment
P004922,2-24-249-0886,335,951,,pure_numeric_comment
P004926,2-24-250-0890,335,955,,pure_numeric_comment
P004927,2-24-250-0891,335,956,,pure_numeric_comment
P004930,2-24-252-0894,335,959,,pure_numeric_comment
P004931,2-24-252-0895,335,960,,pure_numeric_comment
P004932,2-24-252-0896,335,961,,pure_numeric_comment
P004933,2-24-252-0897,335,962,,pure_numeric_comment
P004934,2-24-252-0898,335,963,,pure_numeric_comment
P004935,2-24-252-0899,336,1,,pure_numeric_comment
P004936,2-24-252-0900,336,965,,pure_numeric_comment
P004937,2-24-253-0901,336,966,,pure_numeric_comment
P004938,2-24-253-0902,336,967,,pure_numeric_comment
P004939,2-24-254-0903,336,968,,pure_numeric_comment
P004940,2-24-254-0904,336,969,,pure_numeric_comment
P004941,2-24-254-0905,336,974,,pure_numeric_comment
P004942,2-24-254-0906,336,971,,pure_numeric_comment
P004943,2-24-254-0907,336,970,,pure_numeric_comment
P004944,2-24-254-0908,336,972,,pure_numeric_comment
P004945,2-24-254-0909,336,973,,pure_numeric_comment
P004948,2-24-255-0912,336,977,,pure_numeric_comment
P004949,2-24-255-0913,336,978,,pure_numeric_comment
P004950,2-24-256-0914,336,979,,pure_numeric_comment
P004951,2-24-256-0915,336,980,,pure_numeric_comment
P004952,2-24-256-0916,336,981,,pure_numeric_comment
P004953,2-24-256-0917,337,982,,pure_numeric_comment
P004954,2-24-256-0918,337,983,,pure_numeric_comment
P004955,2-24-256-0919,337,984,,pure_numeric_comment
P004956,2-24-257-0920,337,985,,pure_numeric_comment
P004957,2-24-257-0921,337,986,,pure_numeric_comment
P004961,2-24-257-0925,337,990,,pure_numeric_comment
P004962,2-24-257-0926,337,991,,pure_numeric_comment
P004963,2-24-257-0927,337,992,,pure_numeric_comment
P004965,2-24-258-0929,337,994,,pure_numeric_comment
P004966,2-24-258-0930,337,996,,pure_numeric_comment
P004967,2-24-258-0931,337,997,,pure_numeric_comment
P004968,2-24-258-0932,337,999,,pure_numeric_comment
P004969,2-24-258-0933,338,1,,pure_numeric_comment
P004970,2-24-259-0934,338,2,,pure_numeric_comment
P004971,2-24-259-0935,338,1001,,pure_numeric_comment
P004972,2-24-259-0936,338,1002,,pure_numeric_comment
P004973,2-24-259-0937,338,1003,,pure_numeric_comment
P004974,2-24-260-0938,338,1004,,pure_numeric_comment
P004975,2-24-260-0939,338,1005,,pure_numeric_comment
P004976,2-24-260-0940,338,1006,,pure_numeric_comment
P004977,2-24-260-0941,338,1007,,pure_numeric_comment
P004978,2-24-260-0942,338,1008,,pure_numeric_comment
P004979,2-24-261-0943,338,1009,,pure_numeric_comment
P004980,2-24-261-0944,338,1010,,pure_numeric_comment
P004982,2-24-261-0946,338,1012,,pure_numeric_comment
