family_status,record_count,family_status_norm_proposed,review_status,proposal_basis,owner_decision,owner_family_status_norm,reviewer_notes
Жена Мухортова,1,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Жена Непомнящего,1,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Жена отца,1,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Жена сторожа,1,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Жилец. Совладелец,1,Совладелец,owner_approved,Compound source wording explicitly includes Совладелец.,approve,Совладелец,
Жилица. Сожительница Фисенко,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Кухарка,1,Прислуга,owner_approved,Explicit Прислуга wording.,approve,Кухарка,
Мать Жуковой,1,Мать,owner_approved,Explicit Мать wording.,approve,Мать,
Мать жильца,1,Мать,owner_approved,Explicit Мать wording.,approve,Мать,
Мать сожителя,1,Мать,owner_approved,Explicit Мать wording.,approve,Мать,
Муж,1,Муж,owner_approved,Explicit Муж wording.,approve,Муж,
На воспитании. Сын,1,Приемный сын,owner_approved,Explicit Приемный сын wording.,approve,Сын,
Незаконнорожденная дочь Вертушенковой,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденная дочь Зайцевой,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденная дочь Кирилкиной,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденная дочь Марченковой,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденная дочь Фединой,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденная дочь совладелицы,1,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
Незаконнорожденный сын Бондаренковой,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Жуковой,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Кирилкиной,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Кириловой,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Малафеевой,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Митряевой,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Шуликиной от Алексеева,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Щетинина,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Юдиной,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын Ягодкиной,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын. Приемный,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Нянька,1,Прислуга,owner_approved,Explicit Прислуга wording.,approve,Нянька,
Повар аудитора,1,Повар,owner_approved,Explicit Повар wording.,approve,Повар,
Приемный отец,1,Приемный отец,owner_approved,Explicit Приемный отец wording.,approve,Приемный отец,
Приемыш жильца,1,Приемыш,owner_approved,Приемыш requires review against accompanying relationship wording.,approve,Приемный сын,
Приемыш незаконный внук,1,Приемыш,owner_approved,Приемыш requires review against accompanying relationship wording.,approve,Приемный сын,
Свекровь сожительницы,1,Свекровь,owner_approved,Explicit Свекровь wording.,approve,Свекровь,
