person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw
P001302,1-02-272-1207,106,Александровский,Пост Александровский,TRUE,,48,Ссыльнокаторжный,Жилец,Холост,Сапожник,,РГБ № 933
P001305,1-02-273-1210,106,Александровский,Пост Александровский,TRUE,,3,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 4703
P001311,1-02-276-1216,107,Александровский,Пост Александровский,TRUE,,5,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 3999
P001329,1-02-280-1234,108,Александровский,Пост Александровский,TRUE,,1,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 5554
P001330,1-02-280-1235,108,Александровский,Пост Александровский,TRUE,,18,Свободного состояния,Жилец,Холост,Писарь,Отец в Михайловке.4,РГБ № 7187
P001334,1-02-281-1239,108,Александровский,Пост Александровский,TRUE,,6,Дочь поселенца,Дочь,,,,РГБ № 3943
P001360,1-02-296-1265,110,Александровский,Пост Александровский,TRUE,,4,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 4024
P001365,1-02-297-1270,110,Александровский,Пост Александровский,TRUE,,4,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 4023
P001366,1-02-297-1271,110,Александровский,Пост Александровский,TRUE,,2,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 4608
P001394,1-02-306-1299,112,Александровский,Пост Александровский,TRUE,,6,Сын ссыльнокаторжного,Сын,,,,РГБ № 3949
P001395,1-02-306-1300,112,Александровский,Пост Александровский,TRUE,,3,Сын ссыльнокаторжного,Сын,,,,РГБ № 4524
P001482,1-03-013-0049,117,Александровский,Корсаковское,TRUE,,35,Ссыльнокаторжная,Жена,Женат на Сахалине,,,РГБ № 2893
P001497,1-03-015-0064,118,Александровский,Корсаковское,TRUE,,11,Дочь крестьянки из ссыльных,Незаконнорожденная дочь,,,498. В Благовещенске по пути,РГБ № 4941
P001544,1-03-028-0111,121,Александровский,Корсаковское,TRUE,,3,Сын ссыльнокаторжной,Незаконнорожденный сын,,,490,РГБ № 5203
P001619,1-03-043-0186,126,Александровский,Корсаковское,TRUE,,2,Сын ссыльнокаторжного,Приемный сын,,,,РГБ № 4621
P001624,1-03-044-0191,126,Александровский,Корсаковское,TRUE,,6,Дочь ссыльнокаторжной,Незаконнорожденная дочь,,,488,РГБ № 3946
P001689,1-03-056-0256,130,Александровский,Корсаковское,TRUE,,2,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 5747
P001727,1-04-007-0034,133,Александровский,Ново-Михайловское,TRUE,,6,Сын ссыльнокаторжного,Сын,,,,РГБ № 3955
P001740,1-04-011-0047,133,Александровский,Ново-Михайловское,TRUE,,40,Ссыльнокаторжный,Хозяин,Женат на родине,Рабочий,,РГБ № 3307
P001752,1-04-014-0059,134,Александровский,Ново-Михайловское,TRUE,,1,Сын ссыльнокаторжного,Сын,,,,РГБ № 4806
P001780,1-04-024-0087,136,Александровский,Ново-Михайловское,TRUE,,3,Дочь ссыльнокаторжной,Незаконнорожденная дочь,,,435,РГБ № 5262
P001796,1-04-027-0103,137,Александровский,Ново-Михайловское,TRUE,,10,Сын крестьянина из ссыльных,Сын,,,,РГБ № 4211
P001804,1-04-030-0111,137,Александровский,Ново-Михайловское,TRUE,,5,Сын ссыльнокаторжного,Сын,,,,РГБ № 5437
P001805,1-04-030-0112,137,Александровский,Ново-Михайловское,TRUE,,3,Сын ссыльнокаторжного,Сын,,,,РГБ № 5216
P001809,1-04-031-0116,138,Александровский,Ново-Михайловское,TRUE,,2,Дочь поселенца,Дочь,,,,РГБ № 5750
P001855,1-04-051-0162,141,Александровский,Ново-Михайловское,TRUE,,3,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 4600
P001858,1-04-052-0165,141,Александровский,Ново-Михайловское,TRUE,,1,Сын ссыльнокаторжного,Сын,,,,РГБ № 4957
P001922,1-04-070-0229,145,Александровский,Ново-Михайловское,TRUE,,13,Дочь крестьянина из ссыльных,Дочь,,,,РГБ № 4407
P001923,1-04-070-0230,145,Александровский,Ново-Михайловское,TRUE,,6,Дочь крестьянина из ссыльных,Дочь,,,,РГБ № 4302
P001947,1-04-079-0254,146,Александровский,Ново-Михайловское,TRUE,,5,Сын ссыльнокаторжного,Сын,,,,РГБ № 4008
P001982,1-04-087-0289,148,Александровский,Ново-Михайловское,TRUE,,3,Дочь поселки,Незаконнорожденная дочь,,,404,РГБ № 4596
P002005,1-04-094-0312,150,Александровский,Ново-Михайловское,TRUE,,3,Сын поселенца,Сын,,,,РГБ № 4555
P002006,1-04-094-0313,150,Александровский,Ново-Михайловское,TRUE,,2,Сын поселенца,Сын,,,,РГБ № 5629
P002032,1-04-105-0339,151,Александровский,Ново-Михайловское,TRUE,,5,Сын ссыльнокаторжной,Незаконнорожденный сын,,,488,РГБ № 5446
P002071,1-04-117-0378,154,Александровский,Ново-Михайловское,TRUE,,18,Сын поселенца,Сын,Холост,Младший надзиратель,,РГБ № 7259
P002087,1-04-122-0394,155,Александровский,Ново-Михайловское,TRUE,,2,Дочь поселенца,Дочь,,,,РГБ № 5754
P002098,1-04-126-0405,155,Александровский,Ново-Михайловское,TRUE,,3,Сын поселенца,,,,,РГБ № 4554
P002115,1-04-131-0422,156,Александровский,Ново-Михайловское,TRUE,,5,Сын поселенца,Сын,,,,РГБ № 5435
P002141,1-05-002-0002,158,Александровский,Красный Яр,TRUE,,29,Поселенец,Хозяин,,,9,РГБ № 1928
P002142,1-05-003-0003,158,Александровский,Красный Яр,TRUE,,30,Поселенец,Хозяин,Холост,Земледелие,10,РГБ № 1929
P002146,1-05-005-0007,158,Александровский,Красный Яр,TRUE,,5,Сын поселенца,Незаконнорожденный сын,,,,РГБ № 5413
P002153,1-05-010-0014,159,Александровский,Красный Яр,TRUE,,27,Поселенец,Хозяин,Холост,,21,РГБ № 1939
P002156,1-05-012-0017,159,Александровский,Красный Яр,TRUE,,37,Поселенец,Хозяин,Женат на родине,,24,РГБ № 1942
P002160,1-05-014-0021,159,Александровский,Красный Яр,TRUE,,,Поселенец,Хозяин,Холост,,28,РГБ № 1945
P002163,1-05-017-0024,159,Александровский,Красный Яр,TRUE,,28,Поселенец,Хозяин,,Земледелие,31,РГБ № 1948
P002164,1-05-017-0025,159,Александровский,Красный Яр,TRUE,,38,Ссыльнокаторжная,Сожительница,,Рабочая,32,РГБ № 1949
P002168,1-05-020-0029,160,Александровский,Красный Яр,TRUE,,43,Поселенец,Хозяин,,Земледелие,36,РГБ № 1953
P002177,1-05-026-0038,160,Александровский,Красный Яр,TRUE,,2,Сын поселенца,Сын,,,45,РГБ № 5626
P002179,1-05-028-0040,160,Александровский,Красный Яр,TRUE,,30,Поселенец,Хозяин,Холост,,47,РГБ № 1963
P002181,1-05-030-0042,161,Александровский,Красный Яр,TRUE,,32,Поселенец,Хозяин,,,49,РГБ № 1965
P002184,1-05-031-0045,161,Александровский,Красный Яр,TRUE,,30,Поселенец,Хозяин,Холост,Земледелие,52,РГБ № 1967
P002192,1-05-034-0053,161,Александровский,Красный Яр,TRUE,,3,Сын ссыльнокаторжной,Незаконнорожденный сын,,,345 60,РГБ № 5225
P002193,1-05-034-0054,161,Александровский,Красный Яр,TRUE,,1,Дочь ссыльнокаторжной,Дочь,,,346 61,РГБ № 5527
P002213,1-05-047-0074,162,Александровский,Красный Яр,TRUE,,36,Поселенец,Хозяин,Вдов,,81,РГБ № 1991
P002215,1-05-047-0076,163,Александровский,Красный Яр,TRUE,,2,Сын ссыльнокаторжной,Незаконнорожденный сын,,,349 83,РГБ № 4610
P002220,1-05-049-0081,163,Александровский,Красный Яр,TRUE,,3,Дочь поселки,Незаконнорожденная дочь,,,351 88.3,РГБ № 5256
P002238,1-06-007-0009,164,Александровский,Бутаково,TRUE,,59,Ссыльнокаторжный,Хозяин,,,12,РГБ № 4142
P002250,1-06-020-0021,165,Александровский,Бутаково,TRUE,,30,Ссыльнокаторжная,Сожительница,,,33,РГБ № 4129
P002252,1-06-021-0023,165,Александровский,Бутаково,TRUE,,38,Ссыльнокаторжный,Хозяин,Женат на родине,,35,РГБ № 4123
P002261,1-08-001-0004,166,Александровский,Арково I,TRUE,,4,Дочь поселенца,Незаконнорожденная дочь,,,4,РГБ № 5351
P002272,1-08-003-0015,166,Александровский,Арково I,TRUE,,6,Сын поселенца,Сын,,,,РГБ № 4358
P002273,1-08-003-0016,166,Александровский,Арково I,TRUE,,2,Сын поселенца,Сын,,,,РГБ № 5636
